Date,Forecast,Lower_Bound,Upper_Bound
2026-12-04,70398.40625,67961.54705192479,72835.26544807521
2026-12-05,70632.984375,68196.12517692479,73069.84357307521
2026-12-06,71061.1796875,68624.32048942479,73498.03888557521
2026-12-07,71469.71875,69032.85955192479,73906.57794807521
2026-12-08,71462.859375,69026.00017692479,73899.71857307521
2026-12-09,71418.96875,68982.10955192479,73855.82794807521
2026-12-10,71381.53125,68944.67205192479,73818.39044807521
