,mae,mse,rmse,mape,mase
Naive,4222.48681640625,63799476.0,7987.45751953125,6.133443832397461,0.9989272356033325
Dense,4158.9736328125,60728984.0,7792.88037109375,6.027442932128906,0.9849583506584167
Conv1D,4156.7998046875,60788460.0,7796.6953125,6.015679836273193,0.9844435453414917
LSTM,4145.63525390625,59519360.0,7714.87890625,5.9826483726501465,0.9817994832992554
NBEATS,4176.2353515625,58741596.0,7664.306640625,6.034303188323975,0.9890463948249817
