Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,01/10/13,123.65499,124.30466,124.75166,122.56349
BTC,02/10/13,125.455,123.65499,125.7585,123.63383
BTC,03/10/13,108.58483,125.455,125.66566,83.32833
BTC,04/10/13,118.67466,108.58483,118.675,107.05816
BTC,05/10/13,121.33866,118.67466,121.93633,118.00566
BTC,06/10/13,120.65533,121.33866,121.85216,120.5545
BTC,07/10/13,121.795,120.65533,121.99166,120.43199
BTC,08/10/13,123.033,121.795,123.64016,121.35066
BTC,09/10/13,124.049,123.033,124.7835,122.59266
BTC,10/10/13,125.96116,124.049,128.01683,123.81966
BTC,11/10/13,125.27966,125.96116,126.43666,124.11383
BTC,12/10/13,125.9275,125.27966,126.0365,123.12966
BTC,13/10/13,126.38333,125.9275,126.8965,125.2765
BTC,14/10/13,135.24199,126.38333,135.24199,126.255
BTC,15/10/13,133.20333,135.24199,135.69216,130.39275
BTC,16/10/13,142.76333,133.20333,143.60483,132.94933
BTC,17/10/13,137.92333,142.76333,145.601,136.01466
BTC,18/10/13,142.95166,137.92333,144.311,137.53966
BTC,19/10/13,152.55183,142.95166,152.6685,142.47949
BTC,20/10/13,160.33883,152.55183,167.07999,152.5135
BTC,21/10/13,164.31499,160.33883,164.3315,159.89666
BTC,22/10/13,177.63333,164.31499,177.71166,163.87149
BTC,23/10/13,188.29716,177.63333,188.82383,177.11399
BTC,24/10/13,200.70166,188.29716,202.34333,185.81683
BTC,25/10/13,180.355,200.70166,201.33316,158.72216
BTC,26/10/13,175.03166,180.355,184.09033,162.56466
BTC,27/10/13,177.6965,175.03166,180.3185,174.74483
BTC,28/10/13,187.15983,177.6965,188.3985,174.9035
BTC,29/10/13,192.75666,187.15983,192.83983,185.88116
BTC,30/10/13,197.4,192.75666,198.41366,191.62716
BTC,31/10/13,196.02499,197.4,198.79333,192.83366
BTC,01/11/13,198.04883,196.02499,198.57,195.02916
BTC,02/11/13,198.93233,198.04883,199.09783,195.49
BTC,03/11/13,200.543,198.93233,201.24116,198.71016
BTC,04/11/13,210.3075,200.543,211.17133,200.296
BTC,05/11/13,225.02,210.3075,227.02833,209.23333
